100 Block Address,Offense ID,Longitude,Latitude
70XX BLOCK OF CLEOPATRA PL NW,29,-122.365525418517241,47.680666440689655
41XX BLOCK OF SW ARROYO CT,1,-122.383283488,47.50419224
60XX BLOCK OF MERIDIAN AVE N,3,-122.333555616,47.6726208
41XX BLOCK OF SW ATLANTIC ST,3,-122.384770042,47.59041085
9TH AVE NW / HOLMAN RD NW,2,-122.368723364,47.69834938
25XX BLOCK OF NW 87TH ST,5,-122.388742075,47.69235891
90XX BLOCK OF 17TH AVE NE,9,-122.309487366444444,47.69441456
5XX BLOCK 3RD AVE,1,-122.331082199,47.60241242
45TH AVE NE / NE 38TH ST,1,-122.287208959,47.66137099
72XX BLOCK OF 34TH AVE NW,10,-122.401093071,47.68129179
15XX BLOCK OF N 55TH ST,10,-122.338786751,47.66868658
ELLIOTT AVE / WALL ST,45,-122.350465542933333,47.61336696
77XX BLOCK OF 3RD AVE NW,12,-122.360651895333333,47.68510529
17XX BLOCK OF 4TH AVE N,18,-122.349549036166667,47.63443163
120XX BLOCK OF 25TH AVE NE,54,-122.301819307,47.71659773
1ST AVE N / DENNY WAY,1,-122.355453138,47.61860207
28XX BLOCK OF 10TH AVE W,9,-122.370127546444444,47.6455097
32XX BLOCK OF NE 125TH ST,63,-122.293318325619048,47.71926785
GOODELL PL S / S SPENCER ST,3,-122.277371307,47.54742468
12TH AVE S / S LANE ST,40,-122.317230954,47.5966867
36TH AVE S / LAKESIDE AVE S,1,-122.286794375,47.58652727
90XX BLOCK OF 8TH AVE NE,13,-122.320321771846154,47.69448357
65XX BLOCK OF 2ND AVE NE,16,-122.32729720675,47.67674547
9XX BLOCK OF NE 40TH ST,4,-122.318947982,47.65560987
I5 NB / I90 EB ON,1,-122.319263713,47.59089939
S BRANDON ST / 4TH AVE S,10,-122.329544807,47.55414009
22ND AVE S / S JACKSON ST,1,-122.303284941,47.59927453
S JUNEAU ST / LAKE WASHINGTON BLVD S,1,-122.257569823,47.54966928
5XX BLOCK OF BROADWAY,267,-122.320750902827715,47.606677949363296
ALASKAN WAY / BROAD ST,2,-122.354876198,47.61503359
16XX BLOCK OF 6TH AVE W,24,-122.365024177,47.63413507
17XX BLOCK OF S ORCAS ST,4,-122.310495279,47.55123683
E OLIVE WAY / E DENNY WAY,3,-122.325632953,47.61848878
38XX BLOCK OF 59TH AVE SW,7,-122.408460410285714,47.569316748571429
24XX BLOCK OF 1ST AVE,235,-122.348279648808511,47.61441995106383
1ST AVE NW / NW CANAL ST,2,-122.357664897,47.6521305
73XX BLOCK OF 31ST AVE SW,52,-122.372552167115385,47.53646487
14XX BLOCK OF 10TH AVE,244,-122.319440752061475,47.613512618565574
S BENNETT DR / S BRANDON PL,1,-122.307987722,47.55410403
20XX BLOCK OF 3RD AVE,864,-122.341542597844907,47.612782409525463
BOYD PL SW / 59TH AVE SW,1,-122.408493145,47.5701357
41XX BLOCK OF DENSMORE AVE N,16,-122.33742701825,47.65740678
117XX BLOCK OF LAKE CITY WAY NE,140,-122.297815267392857,47.7149132
5XX BLOCK OF 26TH AVE,30,-122.2988821072,47.60708759
104XX BLOCK OF 40TH AVE NE,8,-122.285463714,47.70426781
NW 45TH ST / LEARY WAY NW,8,-122.36715881,47.66146522
S DIRECTOR ST / 48TH AVE S,12,-122.272848406,47.52234307
N 143RD ST / LINDEN AVE N,40,-122.34777954485,47.73231418
E FIR ST / 19TH AVE,12,-122.307662242,47.6026746
SEATTLE AREA,15,-122.340535487066667,47.616959498
12TH AVE SW / SW CAMBRIDGE ST,1,-122.350642475,47.51916972
S WILLOW ST / 46TH AVE S,2,-122.275478921,47.54068232
11XX BLOCK OF NE 130TH ST,7,-122.31630622,47.72306157
64XX BLOCK OF 47TH AVE SW,1,-122.392581022,47.5451902
NEWTON ST / TAYLOR AVE N,13,-122.345909293,47.63655217
65XX BLOCK OF 44TH AVE S,4,-122.278126151,47.5437856
NE 65TH ST / 39TH AVE NE,1,-122.285896556,47.67578527
34XX BLOCK OF 44TH AVE SW,31,-122.38808140616129,47.57293143
22XX BLOCK OF NE 63RD ST,6,-122.303976841,47.674789381666667
21ST AVE NW / NW 70TH ST,1,-122.383224975,47.67951517
11XX BLOCK OF NW CARKEEK PARK RD,1,-122.373413389,47.71156417
26XX BLOCK OF W HALLADAY ST,4,-122.390958981,47.64231231
138XX BLOCK OF 8TH AVE SW,1,-122.344506925,47.4783715
1XX BLOCK OF N 100TH ST,15,-122.357414995066667,47.701470902666667
143XX BLOCK STONE AVE N,1,-122.342383185,47.73332835
22XX BLOCK OF WEST VIEWMONT WAY W,7,-122.406492243714286,47.637806984285714
7XX BLOCK OF S DEARBORN ST,61,-122.323111156180328,47.59583224
1XX BLOCK OF CEDAR ST,284,-122.350864483073944,47.615609921514084
40XX BLOCK OF E HIGHLAND DR,8,-122.280653481625,47.62974564
ROOSEVELT WAY NE / NE 67TH ST,1,-122.317383271,47.67728333
1XX BLOCK REPUBLICAN ST,2,-122.354761839,47.62326913
77XX BLOCK OF 18TH AVE SW,50,-122.35774040996,47.53277831
19XX BLOCK OF SW ANDOVER ST,6,-122.358549931,47.56834074
33XX BLOCK OF NE 62ND ST,1,-122.291674847,47.67398189
HIGHLAND DR / AURORA AVE N,2,-122.343528394,47.62972444
6XX BLOCK OF W NICKERSON ST,98,-122.365966619112245,47.651982910612245
11XX BLOCK OF E SPRING ST,22,-122.317252027818182,47.611564381818182
2ND AVE W / W THOMAS ST,5,-122.3593490576,47.620950564
29XX BLOCK OF E HARRISON ST,11,-122.293909889272727,47.622500125454546
