GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53002909707002,530299707002,53,29,970700,2,728,83,54,0,0,103,177,311,497,992,157800
G53002909708001,530299708001,53,29,970800,1,1446,40,82,17,64,0,115,1128,584,1005,213700
G53002909708002,530299708002,53,29,970800,2,1202,8,117,129,19,45,19,865,677,896,215500
G53002909709001,530299709001,53,29,970900,1,1338,60,70,0,58,0,29,1121,452,1423,
G53002909709002,530299709002,53,29,970900,2,1981,183,80,141,208,367,168,834,847,1155,
G53002909709003,530299709003,53,29,970900,3,1476,40,0,203,105,494,116,518,478,1206,
G53002909710001,530299710001,53,29,971000,1,1428,56,149,154,4,40,14,1011,729,840,295300
G53002909710002,530299710002,53,29,971000,2,1507,65,60,170,39,79,156,938,674,850,236000
G53002909710003,530299710003,53,29,971000,3,1930,16,113,0,0,46,15,1740,953,1090,318500
G53002909711001,530299711001,53,29,971100,1,1855,119,64,141,44,80,38,1369,1196,884,250700
G53002909711002,530299711002,53,29,971100,2,985,15,29,8,0,41,0,892,658,1029,469900
G53002909713001,530299713001,53,29,971300,1,908,0,127,24,24,86,15,632,631,,296800
G53002909713002,530299713002,53,29,971300,2,1500,53,36,34,222,117,42,996,876,1096,324800
G53002909713003,530299713003,53,29,971300,3,2173,86,209,74,167,63,39,1535,1564,878,361000
G53002909714001,530299714001,53,29,971400,1,1116,9,0,0,106,168,0,833,716,1620,309300
G53002909714002,530299714002,53,29,971400,2,1114,68,46,0,27,36,0,937,758,1147,390300
G53002909714003,530299714003,53,29,971400,3,1964,39,84,81,2,88,29,1641,843,1517,414100
G53002909715001,530299715001,53,29,971500,1,1208,71,32,0,0,17,0,1088,749,871,412200
G53002909715002,530299715002,53,29,971500,2,2029,24,112,36,54,55,13,1735,1254,1181,277600
G53002909716001,530299716001,53,29,971600,1,2607,24,66,81,84,220,242,1890,1098,1240,262700
G53002909716002,530299716002,53,29,971600,2,1558,10,167,11,226,44,0,1100,746,1272,206100
G53002909717001,530299717001,53,29,971700,1,1459,44,17,20,39,16,19,1304,889,,266800
G53002909717002,530299717002,53,29,971700,2,1211,49,27,196,0,32,0,907,678,1112,335500
G53002909717003,530299717003,53,29,971700,3,1185,33,10,14,39,79,34,976,893,1268,262500
G53002909718001,530299718001,53,29,971800,1,648,0,9,0,54,45,0,540,712,858,485300
G53002909718002,530299718002,53,29,971800,2,1667,20,19,57,16,45,109,1401,1186,995,382000
G53002909719001,530299719001,53,29,971900,1,2070,238,56,35,73,23,79,1566,1007,881,335300
G53002909719002,530299719002,53,29,971900,2,839,104,57,31,8,9,49,581,807,883,351500
G53002909719003,530299719003,53,29,971900,3,1074,12,41,46,26,14,0,935,562,968,378200
G53002909720001,530299720001,53,29,972000,1,1382,145,98,38,14,57,32,998,835,1142,418300
G53002909720002,530299720002,53,29,972000,2,1709,123,174,76,0,18,49,1269,861,950,383300
G53002909720003,530299720003,53,29,972000,3,979,19,25,15,50,0,0,870,548,1265,408100
G53002909721001,530299721001,53,29,972100,1,562,0,0,10,0,169,0,383,359,1199,334300
G53002909721002,530299721002,53,29,972100,2,1347,36,1,66,36,48,26,1134,685,1008,371100
G53002909721003,530299721003,53,29,972100,3,1590,15,120,28,41,91,0,1295,1070,1106,395100
G53002909922010,530299922010,53,29,992201,0,0,0,0,0,0,0,0,0,0,,
G53003109502021,530319502021,53,31,950202,1,627,49,9,19,20,16,42,472,438,,344600
G53003109502022,530319502022,53,31,950202,2,517,25,47,31,10,28,26,350,371,1015,218400
G53003109502023,530319502023,53,31,950202,3,258,17,35,16,6,10,0,174,446,,173500
G53003109503001,530319503001,53,31,950300,1,1101,112,47,12,62,13,0,855,734,507,390300
G53003109503002,530319503002,53,31,950300,2,1017,0,64,30,4,0,176,743,576,593,318700
G53003109503003,530319503003,53,31,950300,3,1438,17,0,13,15,170,23,1200,1002,,285400
G53003109503004,530319503004,53,31,950300,4,944,83,0,57,0,25,26,753,663,,407900
G53003109503005,530319503005,53,31,950300,5,1413,41,91,134,60,22,41,1024,778,1725,374300
G53003109504001,530319504001,53,31,950400,1,1366,27,201,31,70,150,0,887,592,854,199400
G53003109504002,530319504002,53,31,950400,2,1241,101,85,170,97,134,51,603,637,788,119300
