county,tract,bg,state,BlockGroup,sduni14,sdelm14,sdsec14,sdbest14,sdbesttype14,cd114,hsa,stab,cntyname,eschlnm14,sschlnm14,uschlnm14,bschlnm14,hsaname,intptlon,intptlat,pop14,afact
53033,38.00,2,53,530330038002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.298472,47.679226,1035.002885,1
53033,39.00,1,53,530330039001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.286082,47.679617,1806.13927,1
53033,39.00,2,53,530330039002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.277957,47.678847,1179.321706,1
53033,40.00,1,53,530330040001,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.238186,47.678556,0,0
53033,40.00,1,53,530330040001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.264901,47.680048,1831.987417,1
53033,40.00,2,53,530330040002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.271627,47.679273,1065.159057,1
53033,41.00,1,53,530330041001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.261326,47.673201,1553.042831,1
53033,41.00,2,53,530330041002,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.253541,47.659059,0,0
53033,41.00,2,53,530330041002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.267802,47.667199,1794.292203,1
53033,41.00,3,53,530330041003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.275434,47.658874,1573.505947,1
53033,41.00,4,53,530330041004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.278231,47.664741,1312.870465,1
53033,41.00,5,53,530330041005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.286378,47.659007,1206.246859,1
53033,41.00,6,53,530330041006,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.273103,47.650287,0,0
